file	child	age	role	person	token	chuj_full	spanish
CB120711.txt	Brendo	?	adult	3SG	sb´i	xal jun tik tas sb´i.	y esto como se llama.
CB120711.txt	Brendo	?	adult	3SG	sb´i	xal jun tas sb´i.	y esto como se llama.
CB120711.txt	Brendo	?	adult	3SG	sb´i	tas sb´i jun tik.	cuál es el nombre de esto.
CB120711.txt	Brendo	?	adult	3SG	yune´	b´ajay winh yune´.	dónde esta él nene.
CB120711.txt	Brendo	?	adult	3SG	ske´i´	mach ske´i´.	quienes suve.
CB120711.txt	Brendo	?	adult	3SG	stajni	tek´anxo stajni winh.	ya juega bien.
CB120711.txt	Brendo	?	adult	2SG	hamono	b´ajay nok´ hamono jun.	dónde esta tu mono pues.
CB120711.txt	Brendo	?	adult	2SG	hamono	b´ajay nok´ hamono.	
CB120711.txt	Brendo	?	adult	2SG	hamono	b´ajay nok´ hamono ma b´ajay nok´ hamono.	donde esta tu mono nene, donde esta tu mono.
CB120711.txt	Brendo	?	adult	2SG	hamono	b´ajay nok´ hamono ma b´ajay nok´ hamono.	donde esta tu mono nene, donde esta tu mono.
CB120711.txt	Brendo	?	adult	2SG	hajay	yel hajay nok´ hamono.	cierto donde esta tu mono.
CB120711.txt	Brendo	?	adult	2SG	hamono	yel hajay nok´ hamono.	cierto donde esta tu mono.
CB120711.txt	Brendo	?	adult	2SG	hamono	b´ajay nok´ hamono.	donde esta tu mono.
CB120711.txt	Brendo	?	adult	2SG	hamono	b´ajay nok´ hamono t´a tik.	donde esta tu mono aquí.
CB120711.txt	Brendo	?	adult	2SG	hamono	b´ajay nok´ hamono.	donde esta tu mono.
CB120711.txt	Brendo	?	adult	2SG	hanok´	ma´ay hanok´ tik ni, hini´ nok´ hamono tik.	no es eso, aquí esta tu mono.
CB120711.txt	Brendo	?	adult	1SG	hini´	ma´ay hanok´ tik ni, hini´ nok´ hamono tik.	no es eso, aquí esta tu mono.
CB120711.txt	Brendo	?	adult	2SG	hamono	ma´ay hanok´ tik ni, hini´ nok´ hamono tik.	no es eso, aquí esta tu mono.
CB120711.txt	Brendo	?	adult	2SG	hamono	ni´ nok´ hamono tik.	este es tu mono.
CB120711.txt	Brendo	?	adult	2SG	haxo	haxo nok´ tik hanok´.	y es te es el.
CB120711.txt	Brendo	?	adult	2SG	hanok´	haxo nok´ tik hanok´.	y es te es el.
CB120711.txt	Brendo	?	adult	2SG	hamono	ma´ay ini nok´ hamono tik.	no, aquí esta tu mono.
CB120711.txt	Brendo	?	adult	3SG	sb´i	xal juntik tas sb´i.	y esto como se llama.
CB120711.txt	Brendo	?	adult	2SG	hak´en	e hak´en tik hak´en kuchwajum.	he este es un carro.
CB120711.txt	Brendo	?	adult	2SG	hak´en	e hak´en tik hak´en kuchwajum.	he este es un carro.
CB120711.txt	Brendo	?	child	2SG	hak´en	hak´en kuchwajum.	es carro.
CB120711.txt	Brendo	?	adult	3SG	sb´i	palanhgana sb´i k´en.	se llama volteo.
CB120711.txt	Brendo	?	adult	2SG	hachej	b´ajay nok´ chej jun, b´ajay nok´ hachej.	donde esta elcaballo, donde esta tu caballo.
CB120711.txt	Brendo	?	adult	2SG	hachej	b´ajay nok´ hachej.	donde esta tu caballo.
CB120711.txt	Brendo	?	child	1SG	hinchej	ni nok´ hinchej tik.	aquí esta mi caballo.
CB120711.txt	Brendo	?	adult	3SG	yune´	junxo nok´ yune´ tzin.	el otro más pequeño.
CB120711.txt	Brendo	?	adult	2SG	hachej	ajay nok´ hachej, ajay nok´ hachej.	donde esta tu caballo, donde esta tu caballo.
CB120711.txt	Brendo	?	adult	2SG	hachej	ajay nok´ hachej, ajay nok´ hachej.	donde esta tu caballo, donde esta tu caballo.
CB120711.txt	Brendo	?	adult	2SG	hak´en	b´ajay k´en hak´en much jun, b´ajay k´en hak´en much.	donde esta tu avión, donde esta tu avión.
CB120711.txt	Brendo	?	adult	2SG	hak´en	b´ajay k´en hak´en much jun, b´ajay k´en hak´en much.	donde esta tu avión, donde esta tu avión.
CB120711.txt	Brendo	?	adult	3SG	yune	yune'.	nene.
CB120711.txt	Brendo	?	adult	3SG	sb'i	tas sb'i k'e'en.	como se llama.
CB120711.txt	Brendo	?	adult	2SG	hanab	ma' ajay ix hanab'.	mijo donde esta tu hermana.
CB120711.txt	Brendo	?	adult	2SG	hanab	b'ajay ix hanab'.	donde esta tu hermana.
CB120711.txt	Brendo	?	adult	2SG	hanab	b'ajay ix hanab'.	donde esta tu hermana.
CB120711.txt	Brendo	?	adult	2SG	hanab	b'ajay ix hanab'.	donde esta tu hermana.
CB120711.txt	Brendo	?	adult	2SG	hanab	chox ix hanab'  an.	mostra tu hermana pues.
CF110711_1.txt	Francisco	1;7.6	adult	3SG	snanhal	ix el snanhal winh.	( ).
CF110711_1.txt	Francisco	1;7.6	adult	2SG	hab'i	hab'i u xa chi jab'iok.	escucha u decile un poco.
CF110711_1.txt	Francisco	1;7.6	adult	3SG	stzik	uk'umanhxo winh ni stzik tzunk'e winh.	él ya está borracho mira ya está temblando.
CF110711_1.txt	Francisco	1;7.6	adult	2SG	hamlaj	uk'umanh  hamlaj winh.	creo que él está borracho.
CF110711_1.txt	Francisco	1;7.6	adult	2SG	hamlaj	mantzak nachajlaj hu'uj hamlaj yaj ha satb'at tik.	perdiste ya no puedes hacer nada.
CF110711_1.txt	Francisco	1;7.6	adult	3SG	yallaj	maj yallaj yuj winh.	él no puede.
CF110711_1.txt	Francisco	1;7.6	adult	3SG	yak'im	jab'xotzin ¿ix yak'im k'en winh?	ya solo poco ¿él ya puso?
CF110711_1.txt	Francisco	1;7.6	adult	2SG	hawal	hawal winh hin.	más aquel mi, mi.
CF110711_1.txt	Francisco	1;7.6	adult	2SG	hatota	hatota b'i'an tzin yab'ixb'i ix hab'i xin chi t'ay ix.	hasta allí sí me voy a embarazar escuchaste le dige a ella.
