file	child	age	role	person	token	chuj_full	spanish	function	notes
CB120711.txt	Brendo	?	child	2SG	hak´en	hak´en kuchwajum.	es carro.	ambiguous	no possessive or verbal signal detected
CB120711.txt	Brendo	?	child	1SG	hinchej	ni nok´ hinchej tik.	aquí esta mi caballo.	poss	Spanish contains possessive: "mi"
CF110711_1.txt	Francisco	1;7.6	child	1PL	konh	konh, konhach.	vamos, vamos.	erg	Spanish contains verbal cue: "vamos"
CF110711_1.txt	Francisco	1;7.6	child	1PL	konhach	konh, konhach.	vamos, vamos.	erg	Spanish contains verbal cue: "vamos"
CF110711_1.txt	Francisco	1;7.6	child	3SG	yamin	yamin.	agarrame.	ambiguous	no possessive or verbal signal detected
CF110711_1.txt	Francisco	1;7.6	child	3SG	stzun	tzin stzun tzej ix.	ella me molesta mucho	erg	Spanish contains verbal cue: "ella me"
CI120711.txt	Isabel	2;0.22	child	1SG	hinkuch	hinkuch ix han.	la cargo pues.	erg	Spanish contains verbal cue: "cargo"
CI120711.txt	Isabel	2;0.22	child	3SG	yich	ak'kot wib'an o ak'kot t'a yich hinpatik.	damelo en la espalda.	erg	Spanish contains verbal cue: "la espalda"
CI120711.txt	Isabel	2;0.22	child	1SG	hinpatik	ak'kot wib'an o ak'kot t'a yich hinpatik.	damelo en la espalda.	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	2SG	hannnnnnn	hann hannnnnnn.	hann hannnnnnn. (sonido de los carros).	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	3SG	sb'al	wak'och sb'al ix.	le pongo su pañal.	poss	Spanish contains possessive: "su"
CI120711.txt	Isabel	2;0.22	child	1SG	hinmam	winh hinmam.	mi papá.	poss	Spanish contains possessive: "mi"
CI120711.txt	Isabel	2;0.22	child	1SG	hinkuxkux	hinkuxkux.	mi galleta.	poss	Spanish contains possessive: "mi"
CI120711.txt	Isabel	2;0.22	child	1SG	hinpekal	tzik'ot hinpekal.	me traes glotones.	erg	Spanish contains verbal cue: "me traes"
CI120711.txt	Isabel	2;0.22	child	1SG	hinlolo	hinlolo' o hinpek'al.	mi glotón.	poss	Spanish contains possessive: "mi"
CI120711.txt	Isabel	2;0.22	child	1SG	hinpek'al	hinlolo' o hinpek'al.	mi glotón.	poss	Spanish contains possessive: "mi"
CI120711.txt	Isabel	2;0.22	child	1SG	hinpan	hinpan.	mi pan.	poss	Spanish contains possessive: "mi"
CI120711.txt	Isabel	2;0.22	child	2SG	hawa	hawa'.	agua.	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	1SG	hinye	weno o hinye'.	bueno.	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	3SG	yo'ok	yo'ok.	sus pies.	poss	Spanish contains possessive: "sus"
CI120711.txt	Isabel	2;0.22	child	3SG	yo'ok	yo'ok.	sus pies.	poss	Spanish contains possessive: "sus"
CI120711.txt	Isabel	2;0.22	child	3SG	yonh	yonh.	¡oh!.	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	3SG	yolpat	yolpat.	dentro de la casa.	erg	Spanish contains verbal cue: "la casa"
CI120711.txt	Isabel	2;0.22	child	1SG	hinene	hinene'.	mi nene.	poss	Spanish contains possessive: "mi"
CI120711.txt	Isabel	2;0.22	child	2SG	hanh	hanh.	tu planta.	poss	Spanish contains possessive: "tu"
CI120711.txt	Isabel	2;0.22	child	3SG	yo'o	yo'o.	¡oh!.	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	2SG	hawixta	hawixta' tzin kuchu'.	voy a cargar mis juguetes.	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	2SG	hajun	hajun tik.	es esto.	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	2SG	hajun	hajun chi'.	fue eso o es eso.	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	2SG	hab'i	hab'i.	escucha.	ambiguous	no possessive or verbal signal detected
CI120711.txt	Isabel	2;0.22	child	1SG	hinpek'al	tzik'ot hinpek'al.	me traes glotones.	erg	Spanish contains verbal cue: "me traes"
CI120711.txt	Isabel	2;0.22	child	1SG	hinpek'al	tzikot hinpek'al.	me traes glotones.	erg	Spanish contains verbal cue: "me traes"
CI120711.txt	Isabel	2;0.22	child	1PL	konh	konh.	vamos.	erg	Spanish contains verbal cue: "vamos"
CI260711.txt	Isabel	2;0.22	child	3SG	yonh	¡yonh!	¡oh!	ambiguous	no possessive or verbal signal detected
CI260711.txt	Isabel	2;0.22	child	3SG	yonh	¡yonh!	¡oh!	ambiguous	no possessive or verbal signal detected
CI260711.txt	Isabel	2;0.22	child	2SG	hawinh	hawinh.	es él.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	hach	nhikan hach.	hay que estar lista.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	hach	nhikan hach an.	listo pues.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	haxo	haxo k'en tuktuk.	ahora el tuctuc.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yemxol	yemxol winh.	viene bajando Ã©l.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yemxol	yemxol winh chi.	viene bajando Ã©l.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yonh	yonh.	ahora (se fue)	erg	Spanish contains verbal cue: "se fue"
CM080711.txt	Mateo	2;1.26	child	3SG	skot	skot' ix.	viene ella.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	hanh	hanh hanh'.	( ).	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	hanh	hanh hanh'.	( ).	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	1PL	kokaro	nijunxo kokaro tik.	aqui tenemos otro carro.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	haaaaa	haaaaa.	haaaaa.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yamnok	b'at'in yamnok'.	voy ir a agarrar la pelota.	erg	Spanish contains verbal cue: "la pelota"
CM080711.txt	Mateo	2;1.26	child	2SG	hachin	hachin tek'ta.	no te voy a patear.	erg	Spanish contains verbal cue: "te voy"
CM080711.txt	Mateo	2;1.26	child	3SG	yonh	yonh.	ahora (se fue).	erg	Spanish contains verbal cue: "se fue"
CM080711.txt	Mateo	2;1.26	child	3SG	yak'ani	yak'ani.	asÃ­ lo hizo.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	1PL	konh	konh em kuman.	nos ponemos derrodillas.	erg	Spanish contains verbal cue: "ponemos"
CM080711.txt	Mateo	2;1.26	child	3SG	sb'at	ni sb'at k'en karro chi'.	alli va el carro.	erg	Spanish contains verbal cue: "va"
CM080711.txt	Mateo	2;1.26	child	2SG	haaaannn	titiiiit  haaaannn.	( ).	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	skot	t'ay tik skot ix.	traela  ella aqui.	erg	Spanish contains verbal cue: "ella aqui"
CM080711.txt	Mateo	2;1.26	child	3SG	yonh	yonh.	ho.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	schum	schum ix nene'.	dejemoslo a ella	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	haan	haan.	( ).	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	sk'eta	wan sk'eta ix.	ella estÃ¡ subiendo.	erg	Spanish contains verbal cue: "ella estã"
CM080711.txt	Mateo	2;1.26	child	2SG	hach	hach weka'.	te empujo.	erg	Spanish contains verbal cue: "te empujo"
CM080711.txt	Mateo	2;1.26	child	3SG	sb'olxaxil	Â¿yo tom malaj sb'olxaxil k'apak?	Â¿a poco  no tiene bolsa?	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	sk'eta	sk'eta ix.	subir a ella.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	1PL	konhach	konhach.	vamos.	erg	Spanish contains verbal cue: "vamos"
CM080711.txt	Mateo	2;1.26	child	3SG	yolb'e	ik'il ix yolb'e.	quitala ella en el camino.	erg	Spanish contains verbal cue: "ella en"
CM080711.txt	Mateo	2;1.26	child	3SG	yolb'e	elanhek yolb'e.	quitense en el camino.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	hahan	hahan.	no_spa	no Spanish translation available
CM080711.txt	Mateo	2;1.26	child	1SG	hinye	hinye.	bueno.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yamin	yamin.	agarrame.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yamin	yamin.	agarrame.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yonh	yonh.	ho.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	hato	hato t'ay chi ol och juntik t'a hin kamix tik.	hasta allÃ­ me van ha poner esto en mi camisa..	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	stonh	hin stonh ix.	aquÃ­ esta su medalla.	poss	Spanish contains possessive: "su"
CM080711.txt	Mateo	2;1.26	child	3SG	yak'an	yak'an ix ana.	hacÃ­a ana.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yak'a	ay ichachi yak'a n ix ana.	hay hacÃ­a ana.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yak'ani	( ). yak'ani.	( ) decÃ­a.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	1SG	hinsat	hin ch'ox hinsat	voy a persignar.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	2SG	hach	Â¿b'ajay hach?	Â¿dÃ³nde estÃ¡s?	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	yowal	yowal winh ket'ok.	estÃ¡ enojado Ã©l con nosotros.	ambiguous	no possessive or verbal signal detected
CM080711.txt	Mateo	2;1.26	child	3SG	sk'e	ta sk'e ix jachkut ix t'ay tik t'ay tik ni.	si sube ella, arrastrala ella aquÃ­ aquÃ­ mira .	erg	Spanish contains verbal cue: "ella aquã"
CM090811.txt	Mateo	2;1.26	child	3SG	yak'in	ix yak'in yaya'.	me  dolió.	ambiguous	no possessive or verbal signal detected
CM090811.txt	Mateo	2;1.26	child	3SG	yaya	ix yak'in yaya'.	me  dolió.	ambiguous	no possessive or verbal signal detected
CM090811.txt	Mateo	2;1.26	child	1PL	konhach	konhach.	vamos.	erg	Spanish contains verbal cue: "vamos"
CM090811.txt	Mateo	2;1.26	child	1PL	komida	b't /b'o hin komida.	ve a hacer mi comida.	ambiguous	no possessive or verbal signal detected
